site,sortVar,variable,value,cellID
Foy,-6893.73,Acnanthidium minutissimum,0,1
Foy,-6886.68,Acnanthidium minutissimum,0,1
Foy,-6879.65,Acnanthidium minutissimum,0,1
Foy,-6869.12,Acnanthidium minutissimum,0,1
Foy,-6858.62,Acnanthidium minutissimum,0,1
Foy,-6851.63,Acnanthidium minutissimum,0,1
Foy,-6844.65,Acnanthidium minutissimum,0,1
Foy,-6837.69,Acnanthidium minutissimum,0,1
Foy,-6830.74,Acnanthidium minutissimum,0,1
Foy,-6823.79,Acnanthidium minutissimum,0,1
Foy,-6816.86,Acnanthidium minutissimum,0,1
Foy,-6809.94,Acnanthidium minutissimum,0,1
Foy,-6803.03,Acnanthidium minutissimum,0,1
Foy,-6796.13,Acnanthidium minutissimum,0,1
Foy,-6789.25,Acnanthidium minutissimum,0,1
Foy,-6782.37,Acnanthidium minutissimum,0,1
Foy,-6775.5,Acnanthidium minutissimum,0,1
Foy,-6768.65,Acnanthidium minutissimum,0,1
Foy,-6761.8,Acnanthidium minutissimum,0,1
Foy,-6754.97,Acnanthidium minutissimum,0,1
Foy,-6748.15,Acnanthidium minutissimum,0,1
Foy,-6741.33,Acnanthidium minutissimum,0,1
Foy,-6734.53,Acnanthidium minutissimum,0,1
Foy,-6727.73,Acnanthidium minutissimum,0,1
Foy,-6720.95,Acnanthidium minutissimum,0,1
Foy,-6714.18,Acnanthidium minutissimum,0,1
Foy,-6707.41,Acnanthidium minutissimum,0,1
Foy,-6700.66,Acnanthidium minutissimum,0,1
Foy,-6693.91,Acnanthidium minutissimum,0,1
Foy,-6687.18,Acnanthidium minutissimum,0,1
Foy,-6680.45,Acnanthidium minutissimum,0,1
Foy,-6673.74,Acnanthidium minutissimum,0,1
Foy,-6667.03,Acnanthidium minutissimum,0,1
Foy,-6660.33,Acnanthidium minutissimum,0,1
Foy,-6653.64,Acnanthidium minutissimum,0,1
Foy,-6646.96,Acnanthidium minutissimum,0,1
Foy,-6640.29,Acnanthidium minutissimum,0.002923977,1
Foy,-6633.63,Acnanthidium minutissimum,0.002754821,1
Foy,-6626.97,Acnanthidium minutissimum,0.005076142,1
Foy,-6620.33,Acnanthidium minutissimum,0.00297619,1
Foy,-6613.69,Acnanthidium minutissimum,0,1
Foy,-6607.06,Acnanthidium minutissimum,0.006734007,1
Foy,-6600.44,Acnanthidium minutissimum,0.003012048,1
Foy,-6593.83,Acnanthidium minutissimum,0,1
Foy,-6587.23,Acnanthidium minutissimum,0,1
Foy,-6580.63,Acnanthidium minutissimum,0,1
Foy,-6574.04,Acnanthidium minutissimum,0,1
Foy,-6567.46,Acnanthidium minutissimum,0.002915452,1
Foy,-6560.88,Acnanthidium minutissimum,0,1
Foy,-6554.32,Acnanthidium minutissimum,0,1
Foy,-6547.76,Acnanthidium minutissimum,0,1
Foy,-6541.2,Acnanthidium minutissimum,0,1
Foy,-6534.66,Acnanthidium minutissimum,0,1
Foy,-6528.12,Acnanthidium minutissimum,0,1
Foy,-6521.59,Acnanthidium minutissimum,0,1
Foy,-6515.06,Acnanthidium minutissimum,0,1
Foy,-6508.54,Acnanthidium minutissimum,0,1
Foy,-6502.03,Acnanthidium minutissimum,0,1
Foy,-6495.52,Acnanthidium minutissimum,0,1
Foy,-6489.02,Acnanthidium minutissimum,0.00295858,1
Foy,-6482.52,Acnanthidium minutissimum,0,1
Foy,-6476.03,Acnanthidium minutissimum,0.009966777,1
Foy,-6469.55,Acnanthidium minutissimum,0,1
Foy,-6463.07,Acnanthidium minutissimum,0.003278689,1
Foy,-6456.6,Acnanthidium minutissimum,0,1
Foy,-6450.13,Acnanthidium minutissimum,0,1
Foy,-6443.66,Acnanthidium minutissimum,0.00619195,1
Foy,-6437.2,Acnanthidium minutissimum,0,1
Foy,-6430.75,Acnanthidium minutissimum,0,1
Foy,-6424.3,Acnanthidium minutissimum,0.003278689,1
Foy,-6417.85,Acnanthidium minutissimum,0.002754821,1
Foy,-6411.41,Acnanthidium minutissimum,0,1
Foy,-6404.97,Acnanthidium minutissimum,0,1
Foy,-6398.54,Acnanthidium minutissimum,0,1
Foy,-6392.11,Acnanthidium minutissimum,0,1
Foy,-6388.89,Acnanthidium minutissimum,0,1
Foy,-6385.68,Acnanthidium minutissimum,0,1
Foy,-6379.26,Acnanthidium minutissimum,0,1
Foy,-6372.83,Acnanthidium minutissimum,0,1
Foy,-6366.42,Acnanthidium minutissimum,0,1
Foy,-6360,Acnanthidium minutissimum,0,1
Foy,-6353.59,Acnanthidium minutissimum,0,1
Foy,-6347.18,Acnanthidium minutissimum,0,1
Foy,-6340.77,Acnanthidium minutissimum,0,1
Foy,-6334.36,Acnanthidium minutissimum,0,1
Foy,-6327.96,Acnanthidium minutissimum,0,1
Foy,-6321.55,Acnanthidium minutissimum,0,1
Foy,-6315.15,Acnanthidium minutissimum,0,1
Foy,-6308.75,Acnanthidium minutissimum,0,1
Foy,-6302.35,Acnanthidium minutissimum,0,1
Foy,-6295.95,Acnanthidium minutissimum,0,1
Foy,-6289.55,Acnanthidium minutissimum,0,1
Foy,-6283.16,Acnanthidium minutissimum,0,1
Foy,-6276.76,Acnanthidium minutissimum,0,1
Foy,-6267.16,Acnanthidium minutissimum,0,1
Foy,-6257.56,Acnanthidium minutissimum,0,1
Foy,-6251.17,Acnanthidium minutissimum,0,1
Foy,-6244.77,Acnanthidium minutissimum,0,1
Foy,-6238.36,Acnanthidium minutissimum,0,1
Foy,-6231.96,Acnanthidium minutissimum,0,1
Foy,-6225.56,Acnanthidium minutissimum,0,1
Foy,-6219.15,Acnanthidium minutissimum,0,1
Foy,-6212.74,Acnanthidium minutissimum,0,1
Foy,-6206.33,Acnanthidium minutissimum,0,1
Foy,-6199.92,Acnanthidium minutissimum,0,1
Foy,-6193.51,Acnanthidium minutissimum,0,1
Foy,-6187.09,Acnanthidium minutissimum,0,1
Foy,-6180.67,Acnanthidium minutissimum,0,1
Foy,-6174.24,Acnanthidium minutissimum,0,1
Foy,-6167.81,Acnanthidium minutissimum,0,1
Foy,-6161.38,Acnanthidium minutissimum,0,1
Foy,-6154.95,Acnanthidium minutissimum,0,1
Foy,-6148.51,Acnanthidium minutissimum,0,1
Foy,-6142.06,Acnanthidium minutissimum,0,1
Foy,-6135.61,Acnanthidium minutissimum,0,1
Foy,-6129.16,Acnanthidium minutissimum,0,1
Foy,-6122.7,Acnanthidium minutissimum,0,1
Foy,-6116.23,Acnanthidium minutissimum,0,1
Foy,-6109.76,Acnanthidium minutissimum,0,1
Foy,-6103.28,Acnanthidium minutissimum,0,1
Foy,-6096.79,Acnanthidium minutissimum,0,1
Foy,-6090.3,Acnanthidium minutissimum,0,1
Foy,-6083.8,Acnanthidium minutissimum,0,1
Foy,-6077.3,Acnanthidium minutissimum,0,1
Foy,-6070.79,Acnanthidium minutissimum,0,1
Foy,-6064.26,Acnanthidium minutissimum,0,1
Foy,-6057.74,Acnanthidium minutissimum,0,1
Foy,-6051.2,Acnanthidium minutissimum,0,1
Foy,-6044.65,Acnanthidium minutissimum,0,1
Foy,-6038.1,Acnanthidium minutissimum,0,1
Foy,-6031.53,Acnanthidium minutissimum,0,1
Foy,-6024.96,Acnanthidium minutissimum,0,1
Foy,-6018.38,Acnanthidium minutissimum,0,1
Foy,-6008.48,Acnanthidium minutissimum,0,1
Foy,-5998.56,Acnanthidium minutissimum,0,1
Foy,-5991.94,Acnanthidium minutissimum,0,1
Foy,-5985.3,Acnanthidium minutissimum,0,1
Foy,-5978.65,Acnanthidium minutissimum,0,1
Foy,-5971.99,Acnanthidium minutissimum,0,1
Foy,-5965.32,Acnanthidium minutissimum,0,1
Foy,-5958.63,Acnanthidium minutissimum,0,1
Foy,-5951.93,Acnanthidium minutissimum,0,1
Foy,-5945.22,Acnanthidium minutissimum,0,1
Foy,-5938.5,Acnanthidium minutissimum,0,1
Foy,-5931.76,Acnanthidium minutissimum,0,1
Foy,-5925.01,Acnanthidium minutissimum,0,1
Foy,-5918.24,Acnanthidium minutissimum,0,1
Foy,-5911.45,Acnanthidium minutissimum,0,1
Foy,-5904.66,Acnanthidium minutissimum,0,1
Foy,-5897.84,Acnanthidium minutissimum,0,1
Foy,-5891.02,Acnanthidium minutissimum,0,1
Foy,-5884.17,Acnanthidium minutissimum,0,1
Foy,-5877.31,Acnanthidium minutissimum,0,1
Foy,-5870.43,Acnanthidium minutissimum,0,1
Foy,-5863.53,Acnanthidium minutissimum,0,1
Foy,-5856.62,Acnanthidium minutissimum,0,1
Foy,-5849.69,Acnanthidium minutissimum,0.002994012,1
Foy,-5842.74,Acnanthidium minutissimum,0,1
Foy,-5835.77,Acnanthidium minutissimum,0,1
Foy,-5828.78,Acnanthidium minutissimum,0,1
Foy,-5821.77,Acnanthidium minutissimum,0,1
Foy,-5814.75,Acnanthidium minutissimum,0,1
Foy,-5807.7,Acnanthidium minutissimum,0,1
Foy,-5800.63,Acnanthidium minutissimum,0,1
Foy,-5793.54,Acnanthidium minutissimum,0,1
Foy,-5786.43,Acnanthidium minutissimum,0,1
Foy,-5779.3,Acnanthidium minutissimum,0,1
Foy,-5772.15,Acnanthidium minutissimum,0,1
Foy,-5764.97,Acnanthidium minutissimum,0,1
Foy,-5757.77,Acnanthidium minutissimum,0,1
Foy,-5746.93,Acnanthidium minutissimum,0,1
Foy,-5736.04,Acnanthidium minutissimum,0,1
Foy,-5728.74,Acnanthidium minutissimum,0,1
Foy,-5721.42,Acnanthidium minutissimum,0.014577259,1
Foy,-5714.08,Acnanthidium minutissimum,0.015197568,1
Foy,-5706.71,Acnanthidium minutissimum,0.009146341,1
Foy,-5699.31,Acnanthidium minutissimum,0,1
Foy,-5691.89,Acnanthidium minutissimum,0,1
Foy,-5684.44,Acnanthidium minutissimum,0,1
Foy,-5676.96,Acnanthidium minutissimum,0,1
