x,obs
1,0.04845155
2,0.04840499
3,0.04846865
4,0.04847949
5,0.04841906
6,0.04851208
7,0.04849811
8,0.04851921
9,0.04846517
10,0.04842937
11,0.04846794
12,0.04842291
13,0.04836488
14,0.04827421
15,0.04821754
16,0.04817808
17,0.0483417
18,0.0485755
19,0.04875426
20,0.04890153
21,0.04895926
22,0.04889647
23,0.0489872
24,0.04909452
25,0.04913286
26,0.0491925
27,0.04935177
28,0.0495075
29,0.04963255
30,0.04975755
31,0.0498115
32,0.04988693
33,0.04992147
34,0.0499153
35,0.05006524
36,0.05016856
37,0.05041532
38,0.05048902
39,0.05058346
40,0.05059602
41,0.05066826
42,0.05073306
43,0.05067403
44,0.05054888
45,0.05046844
46,0.05037216
47,0.05036028
48,0.05035747
49,0.05041978
50,0.05058089
51,0.05067633
52,0.05073392
53,0.05077584
54,0.0506727
55,0.05060278
56,0.05038241
57,0.05033414
58,0.05035686
59,0.05049291
60,0.0506407
61,0.05081222
62,0.0509944
63,0.05107029
64,0.05131761
65,0.05134857
66,0.05127967
67,0.05122681
68,0.05128961
69,0.05119747
70,0.05113044
71,0.05102446
72,0.05094943
73,0.0508328
74,0.0508788
75,0.05099415
76,0.05112218
77,0.05124256
78,0.05126647
79,0.05135864
80,0.05149549
81,0.0516192
82,0.05165282
83,0.05177509
84,0.05205829
85,0.05230863
86,0.05239001
87,0.05236751
88,0.05229631
89,0.05239185
90,0.05238931
91,0.0522918
92,0.05245835
93,0.05255158
94,0.05261416
95,0.05284996
96,0.05317685
97,0.05334311
98,0.05361613
99,0.05383301
100,0.05399226
101,0.05394106
102,0.0537325
103,0.05365382
104,0.05348906
105,0.05331923
106,0.05323257
107,0.05318986
108,0.05345096
109,0.05360208
110,0.05384929
111,0.0541267
112,0.05430285
113,0.05458174
114,0.05476384
115,0.05489755
116,0.05500349
117,0.05498004
118,0.05497419
119,0.05477334
120,0.05450092
121,0.05432515
122,0.05422574
123,0.05421451
124,0.05420957
125,0.05414058
126,0.05415662
127,0.05418674
128,0.05396361
129,0.05389743
130,0.05397458
131,0.05400618
132,0.05399501
133,0.05402082
134,0.05421754
135,0.05434996
136,0.05446684
137,0.05463829
138,0.05485172
139,0.05501381
140,0.05544749
141,0.05566474
142,0.05573751
143,0.05579782
144,0.05588547
145,0.05609095
146,0.05612595
147,0.0561175
148,0.05625167
149,0.05615569
150,0.05584794
151,0.05557524
152,0.0554
153,0.05519931
154,0.05510678
155,0.05505366
156,0.05506301
157,0.05516906
158,0.05525199
159,0.05531047
160,0.05540339
161,0.05545833
162,0.05562482
163,0.05563933
164,0.05573379
165,0.05594552
166,0.05614321
167,0.05622164
168,0.0563634
169,0.05648858
170,0.05660262
171,0.05665423
172,0.05663105
173,0.05647648
174,0.0564807
175,0.05639977
176,0.05645016
177,0.05623426
178,0.05621907
179,0.05603633
180,0.055996
181,0.05581844
182,0.05586153
183,0.05593697
184,0.05594308
185,0.05585378
186,0.05569364
187,0.05563567
188,0.05571692
189,0.05583681
190,0.05577381
191,0.05562772
192,0.05550937
193,0.05542637
194,0.05552083
195,0.05559129
196,0.05572063
197,0.0560382
198,0.05618846
199,0.05628315
200,0.05621637
201,0.05627602
202,0.05641928
203,0.0566677
204,0.0568393
205,0.05699488
206,0.05699098
207,0.05686979
208,0.05704024
209,0.05709469
210,0.05697795
211,0.05689003
212,0.05696127
213,0.05676363
214,0.05671605
215,0.05663148
216,0.05662451
217,0.05671641
218,0.05662011
219,0.05653416
220,0.05670611
221,0.05695117
222,0.05694241
223,0.05704949
224,0.05707318
225,0.05697403
226,0.0571053
227,0.05718026
228,0.0571537
229,0.05740503
230,0.0578508
231,0.05781364
232,0.05756556
233,0.05742056
234,0.05769253
235,0.05802362
236,0.05853727
237,0.05882824
238,0.05917748
239,0.05919968
240,0.05901964
241,0.05914648
242,0.05959865
243,0.06012262
244,0.06025056
245,0.06010052
246,0.06000967
247,0.05975433
248,0.05989378
249,0.06008292
250,0.06039403
251,0.06043458
252,0.06032803
253,0.06010532
254,0.05991416
255,0.0598726
256,0.0599104
257,0.06008374
258,0.06036862
259,0.06034655
260,0.06034543
261,0.06023536
262,0.05984721
263,0.05959262
264,0.05963412
265,0.05963581
266,0.0596438
267,0.05975742
268,0.05996403
269,0.06002405
270,0.06038341
271,0.06045333
272,0.06047504
273,0.06069072
274,0.0609501
275,0.06097746
276,0.06107296
277,0.06120434
278,0.06113531
279,0.06094075
280,0.06051298
281,0.06032512
282,0.06023153
283,0.06018763
284,0.06013945
285,0.05993269
286,0.05992075
287,0.05978963
288,0.05966926
289,0.05953152
290,0.05950807
291,0.05969
292,0.05961655
293,0.05967454
294,0.05986561
295,0.05983262
296,0.05978664
297,0.05972539
298,0.05959884
299,0.05962483
300,0.05983738
301,0.05993309
302,0.0600332
303,0.05983282
304,0.0598786
305,0.05978892
306,0.05983269
307,0.05983056
308,0.05975581
309,0.05974884
310,0.05967762
311,0.05972001
312,0.05955262
313,0.05941091
314,0.05955736
315,0.05967584
316,0.05975961
317,0.05982626
318,0.05972573
319,0.05971714
320,0.05966624
321,0.0596142
322,0.05968493
323,0.05970788
324,0.05985582
325,0.05998866
326,0.05996884
327,0.05994399
328,0.05988665
329,0.05996037
330,0.0599606
331,0.06007003
332,0.06006961
333,0.06016331
334,0.06002863
335,0.06010196
336,0.06017902
337,0.06050444
338,0.06051207
339,0.06048667
340,0.06043871
341,0.06051375
342,0.06070235
343,0.06070856
344,0.06086399
345,0.06106851
346,0.06106088
347,0.06110711
348,0.06115224
349,0.06105379
350,0.06109459
351,0.06103336
352,0.06124062
353,0.06134675
354,0.06158039
355,0.0616947
356,0.0617208
357,0.06184351
358,0.0621203
359,0.06214662
360,0.06223775
361,0.06217752
362,0.06202814
363,0.06180469
364,0.06170328
365,0.06174894
366,0.06161087
367,0.06155609
368,0.06145316
369,0.06155273
370,0.06164983
371,0.0617317
372,0.06178717
373,0.06172321
374,0.06174859
375,0.06184002
376,0.06176016
377,0.06171744
378,0.06179451
379,0.06187367
380,0.06199737
381,0.06202529
382,0.06189022
383,0.06180901
384,0.06159481
385,0.06171979
386,0.06189184
387,0.06215447
388,0.06226917
389,0.06234023
390,0.06229194
391,0.0622353
392,0.06217806
393,0.06212546
394,0.06205213
395,0.06209068
396,0.06219529
397,0.06218224
398,0.06215935
399,0.06245068
400,0.06251825
401,0.06267444
402,0.06280456
403,0.06310108
404,0.06313731
405,0.06301977
406,0.06301171
407,0.06301044
408,0.06317302
409,0.06321433
410,0.06318212
411,0.06328803
412,0.06327454
413,0.06323459
414,0.0631111
415,0.0631182
416,0.06307688
417,0.06321111
418,0.06316514
419,0.06342239
420,0.06347889
421,0.06342149
422,0.06342053
423,0.06334987
424,0.06328281
425,0.06312225
426,0.0631881
427,0.0632009
428,0.06320346
429,0.06330617
430,0.06328715
431,0.06339988
432,0.06359137
433,0.06370065
434,0.06380857
435,0.06396122
436,0.0639655
437,0.06397507
438,0.06402634
439,0.06404955
440,0.0640519
441,0.06404291
442,0.06400294
443,0.06410852
444,0.06409673
445,0.06406321
446,0.06415568
447,0.06415932
448,0.06404205
449,0.06421106
450,0.06443828
451,0.06468132
452,0.06492326
453,0.06509329
454,0.0654009
455,0.06566206
456,0.06603335
457,0.06625519
458,0.0664727
459,0.06670629
460,0.06699234
461,0.0671756
462,0.0675423
463,0.067402309999999993
464,0.0671704
465,0.06695068
466,0.06679536
467,0.06663967
468,0.06682237
469,0.06680994
470,0.06704592
471,0.06722869
472,0.06713019
473,0.0669882
474,0.06698803
475,0.06710728
476,0.06698725
477,0.06687156
478,0.06677081
479,0.06672847
480,0.06676222
481,0.06678757
482,0.06680192
483,0.06674378
484,0.06655828
485,0.06652563
486,0.06630165
487,0.06613705
488,0.06581865
489,0.06574917
490,0.06575759
491,0.06579041
492,0.06583287
493,0.06603443
494,0.06611682
495,0.06601388
496,0.06602295
497,0.06610499
498,0.06592911
499,0.06589973
500,0.06583469
501,0.06582614
502,0.06591629
503,0.06611309
504,0.06613578
505,0.06615929
506,0.06617673
507,0.06620796
508,0.06602854
509,0.06593922
510,0.0659841
511,0.06618465
512,0.06622989
513,0.06647786
514,0.06651451
515,0.06666584
516,0.06686159
517,0.06707203
518,0.067059
519,0.06718235
520,0.06723052
521,0.06720832
522,0.06706017
523,0.06700906
524,0.06704355
525,0.06709588
526,0.06701852
527,0.0671964
528,0.06743057
529,0.06766277
530,0.06777321
531,0.06783002
532,0.06777691
533,0.06779563
534,0.06773696
535,0.0675443
536,0.06733968
537,0.06730459
538,0.06713057
539,0.06707619
540,0.06724123
541,0.06732015
542,0.06720527
543,0.06710196
544,0.06718387
545,0.0668337
546,0.06681619
547,0.06689928
548,0.06712383
549,0.0673275
550,0.06741558
551,0.06744094
552,0.06748103
553,0.06739778
554,0.06736196
555,0.06743229
556,0.0674438
557,0.06748601
558,0.0674575
559,0.06746094
560,0.06736767
561,0.06734893
562,0.06733868
563,0.0673205
564,0.06738465
565,0.06736266
566,0.06736104
567,0.06734332
568,0.06740045
569,0.06743049
570,0.06746788
571,0.06756766
572,0.06754053
573,0.06748135
574,0.06751232
575,0.06737581
576,0.06746746
577,0.06751899
578,0.06769405
579,0.0676823
580,0.06779192
581,0.06778674
582,0.06780815
583,0.06775918
584,0.0677135
585,0.06778606
586,0.06783191
587,0.06802332
588,0.06809375
589,0.06822765
590,0.06831145
591,0.0682717
592,0.06832001
593,0.06825387
594,0.06821366
595,0.06811614
596,0.06798547
597,0.06793927
598,0.06799001
599,0.06820477
600,0.06832474
601,0.06831075
602,0.06841061
603,0.06843288
604,0.06832004
605,0.06833557
606,0.06848668
607,0.06854147
608,0.06847576
609,0.06837825
610,0.06841824
611,0.06848571
612,0.06866129
613,0.06884336
614,0.06884211
615,0.06882199
616,0.06877499
617,0.06880872
618,0.0688334
619,0.06888583
620,0.06874025
621,0.06880181
622,0.06904855
623,0.06911273
624,0.06920987
625,0.06928432
626,0.06930494
627,0.06938523
628,0.06932882
629,0.0691994
630,0.06904166
631,0.06930862
632,0.06948613
633,0.06961099
634,0.06988318
635,0.06998079
636,0.07000303
637,0.07013032
638,0.07027236
639,0.07047743
640,0.0708257
641,0.07100194
642,0.07098338
643,0.07082153
644,0.07078969
645,0.07072235
646,0.07066673
647,0.07069276
648,0.07053378
649,0.07057808
650,0.07040956
651,0.07030197
652,0.07024787
653,0.0705785
654,0.07073006
655,0.07086963
656,0.07100257
657,0.0710694
658,0.07128233
659,0.07135688
660,0.07139715
661,0.07150541
662,0.07169362
663,0.07179469
664,0.07184321
665,0.0719796
666,0.0722643
667,0.07237664
668,0.07255865
669,0.07254652
670,0.07275356
671,0.07270883
672,0.07272879
673,0.07275704
674,0.07272168
675,0.07269126
676,0.07270814
677,0.0726908
678,0.07270638
679,0.07269447
680,0.07262348
681,0.07237552
682,0.07223167
683,0.07212511
684,0.07211915
685,0.07209412
686,0.07206421
687,0.07205199
688,0.07209904
689,0.0721057
690,0.07220514
691,0.07232378
692,0.07229225
693,0.0725277
694,0.07258976
695,0.07281441
696,0.07288416
697,0.07322235
698,0.0733083
699,0.07360355
700,0.07381476
701,0.0737534
702,0.07384273
703,0.0742806
704,0.07410412
705,0.0738584
706,0.07377587
707,0.07409199
708,0.07424234
709,0.07429548
710,0.07426152
711,0.07418645
712,0.07414109
713,0.07382609
714,0.07362299
715,0.07381836
716,0.07401528
717,0.07384644
718,0.0737723
719,0.07385802
720,0.07370788
721,0.0736552
722,0.07362982
723,0.07367269
724,0.07369325
725,0.07373339
726,0.07362113
727,0.07347493
728,0.07349361
729,0.07343543
730,0.07326372
731,0.07334478
732,0.07336518
733,0.07356219
734,0.07353198
735,0.07357714
736,0.07372112
737,0.07381228
738,0.07400807
739,0.07396727
740,0.07390654
741,0.07393426
742,0.07403984
743,0.07404506
744,0.07408264
745,0.07406614
746,0.07417066
747,0.07414275
748,0.07421841
749,0.07415114
750,0.07405312
751,0.07404523
752,0.07400651
753,0.07411034
754,0.07412419
755,0.07426134
756,0.07418377
757,0.07443816
758,0.07455014
759,0.07472055
760,0.07480656
761,0.07478224
762,0.07482682
763,0.07478918
764,0.07480072
765,0.07463925
766,0.07457252
767,0.07437005
768,0.07427195
769,0.07430742
770,0.07458135
771,0.07464626
772,0.07466599
773,0.07467005
774,0.0745628
775,0.07458588
776,0.07482169
777,0.07499967
778,0.07487513
779,0.07465491
780,0.074629
781,0.07488676
782,0.07491045
783,0.07479363
784,0.07494121
785,0.0756701
786,0.07614138
787,0.07586579
788,0.07554869
789,0.07514208
790,0.07476815
791,0.07469223
792,0.07474349
793,0.07531095
794,0.07583156
795,0.07588869
796,0.07538012
797,0.07534575
798,0.07536122
799,0.07529863
800,0.07498658
801,0.07513838
802,0.07518228
803,0.07544754
804,0.07557422
805,0.07567132
806,0.07566664
807,0.07597348
808,0.07597888
809,0.07597774
810,0.07588795
811,0.07578153
812,0.07567467
813,0.07562556
814,0.07562353
815,0.07561208
816,0.07565031
817,0.07555577
818,0.07548205
819,0.07566194
820,0.07587048
821,0.07591914
822,0.0758993
823,0.07578101
824,0.07569278
825,0.07563981
826,0.07594058
827,0.07591403
828,0.07614088
829,0.07605935
830,0.07605565
831,0.07614654
832,0.07613835
833,0.07588246
834,0.07596932
835,0.07612392
836,0.07625904
837,0.0762611
838,0.0762882
839,0.07618094
840,0.07624544
841,0.07623503
842,0.07625565
843,0.07619645
844,0.07623532
845,0.07625051
846,0.07622778
847,0.07629052
848,0.07652049
849,0.07659283
850,0.07665601
851,0.07679245
852,0.07683015
853,0.07669042
854,0.07665715
855,0.07658833
856,0.07658223
857,0.07663901
858,0.07654758
859,0.07637733
860,0.07642517
861,0.07644073
862,0.07634153
863,0.07639574
864,0.07667539
865,0.07686295
866,0.07686663
867,0.07677259
868,0.07669318
869,0.07670933
870,0.0768584
871,0.07693359
872,0.07688096
873,0.07679939
874,0.07691148
875,0.07711209
876,0.077146
